['821', '371', '130', '491', '302', '999', '797', '535', '434', '907', '329', '693', '16', '800', '344', '28', '911', '578', '374', '637']
['971', '573', '194', '915', '727', '362', '706', '59', '168', '166', '688', '68', '628', '522', '94', '466', '391', '118', '51', '63']
['125', '137', '770', '521', '169', '216', '437', '46', '561', '717', '238', '596', '303', '316', '14', '986', '994', '146', '183', '333']
['565', '452', '214', '617', '181', '861', '526', '653', '860', '512', '174', '559', '555', '436', '654', '309', '298', '675', '614', '388']
['777', '807', '222', '810', '753', '626', '569', '589', '857', '959', '267', '806', '652', '236', '75', '70', '780', '206', '736', '185']
['170', '642', '10', '447', '953', '192', '67', '203', '280', '50', '875', '430', '509', '531', '527', '315', '193', '670', '142', '332']
['935', '519', '470', '497', '467', '662', '828', '694', '237', '691', '202', '446', '1', '143', '38', '518', '912', '201', '270', '666']
['607', '109', '851', '887', '552', '615', '765', '771', '669', '331', '123', '493', '836', '741', '799', '874', '98', '269', '220', '803']
['795', '604', '384', '287', '962', '783', '5', '113', '906', '339', '722', '629', '690', '53', '42', '723', '814', '422', '421', '346']
['357', '852', '247', '847', '482', '175', '744', '455', '268', '101', '347', '516', '864', '978', '549', '678', '140', '921', '708', '547']
['928', '171', '910', '47', '363', '477', '863', '211', '869', '968', '29', '27', '308', '411', '367', '789', '835', '891', '360', '205']
['259', '644', '402', '472', '506', '369', '520', '640', '11', '648', '277', '939', '490', '837', '23', '715', '633', '370', '34', '21']
['151', '881', '26', '756', '226', '832', '364', '30', '442', '591', '139', '965', '998', '148', '108', '853', '759', '292', '179', '920']
['859', '227', '198', '231', '36', '976', '890', '155', '353', '324', '328', '429', '443', '233', '711', '854', '983', '474', '699', '914']
['135', '932', '594', '730', '540', '984', '820', '432', '401', '330', '991', '734', '873', '868', '850', '792', '808', '685', '922', '878']
['256', '677', '456', '882', '0', '627', '714', '398', '80', '696', '941', '266', '197', '755', '618', '824', '937', '724', '900', '25']
['872', '207', '579', '712', '358', '460', '182', '6', '764', '395', '403', '997', '209', '488', '255', '122', '79', '66', '546', '947']
['964', '483', '746', '103', '264', '972', '234', '498', '361', '553', '566', '613', '352', '751', '950', '45', '489', '351', '510', '97']
['902', '817', '93', '104', '305', '969', '830', '85', '658', '598', '217', '541', '420', '689', '657', '681', '893', '116', '645', '149']
