['41', '794', '565', '206', '939', '913', '360', '692', '595', '463', '449', '424', '443', '837', '961', '739', '778', '668', '611', '994', '993', '964', '462', '299', '604', '458', '948', '893', '529', '214', '758']
['274', '539', '137', '22', '619', '941', '45', '225', '445', '902', '188', '0', '788', '974', '883', '748', '956', '431', '373', '36', '159', '477', '435', '740', '955', '907', '251', '265', '312', '712', '555']
['990', '840', '727', '291', '183', '218', '379', '116', '586', '814', '293', '690', '232', '456', '91', '915', '929', '483', '339', '114', '952', '365', '54', '718', '310', '292', '112', '652', '755', '411', '512']
['178', '229', '741', '497', '507', '351', '572', '695', '824', '131', '169', '383', '991', '107', '444', '842', '269', '384', '770', '157', '879', '84', '602', '464', '439', '881', '675', '399', '577', '211', '971']
['359', '31', '21', '772', '190', '490', '827', '726', '472', '42', '661', '250', '633', '816', '140', '696', '921', '180', '659', '766', '709', '9', '414', '219', '874', '701', '795', '295', '743', '836', '545']
['762', '746', '947', '395', '120', '684', '776', '666', '510', '896', '303', '341', '614', '642', '860', '142', '69', '830', '699', '177', '935', '578', '193', '676', '731', '570', '549', '575', '482', '171', '905']
['664', '899', '656', '29', '673', '192', '209', '127', '650', '3', '333', '89', '238', '771', '100', '697', '470', '953', '335', '940', '132', '515', '266', '181', '452', '785', '826', '627', '531', '235', '397']
['367', '875', '460', '942', '626', '553', '500', '16', '267', '499', '141', '920', '326', '841', '366', '651', '146', '87', '992', '797', '401', '433', '340', '377', '97', '901', '805', '122', '381', '273', '519']
['593', '317', '828', '754', '205', '242', '281', '543', '346', '150', '839', '923', '136', '243', '398', '60', '576', '844', '968', '394', '37', '134', '378', '533', '508', '368', '110', '64', '23', '514', '298']
['215', '683', '850', '962', '858', '997', '38', '622', '791', '199', '343', '185', '552', '432', '527', '702', '412', '769', '363', '933', '418', '680', '318', '297', '742', '887', '212', '584', '486', '408', '446']
['605', '554', '914', '46', '316', '228', '261', '564', '609', '547', '815', '790', '868', '149', '237', '988', '416', '385', '738', '693', '685', '429', '720', '386', '154', '173', '705', '983', '613', '958', '324']
['287', '51', '387', '843', '548', '356', '600', '763', '158', '906', '747', '12', '257', '569', '388', '113', '681', '369', '765', '753', '52', '349', '832', '540', '404', '912', '11', '965', '583', '781', '894']
['556', '862', '528', '254', '863', '615', '200', '308', '672', '567', '221', '278', '996', '288', '779', '382', '440', '26', '223', '121', '869', '203', '691', '5', '682', '872', '336', '911', '296', '782', '655']
['603', '524', '852', '521', '80', '560', '784', '934', '364', '98', '245', '90', '725', '30', '799', '897', '311', '125', '419', '589', '932', '24', '980', '806', '358', '275', '65', '390', '491', '559', '884']
['389', '670', '263', '184', '331', '374', '504', '865', '717', '823', '139', '847', '39', '220', '957', '898', '8', '938', '138', '420', '405', '760', '768', '721', '745', '347', '461', '700', '542', '530', '689']
['380', '485', '654', '625', '916', '641', '511', '393', '918', '855', '476', '674', '348', '277', '715', '686', '895', '608', '653', '233', '819', '455', '882', '71', '478', '83', '88', '757', '803', '488', '13']
['376', '616', '951', '194', '352', '937', '406']
