['956', '155', '833', '23', '737', '700', '584', '138', '56', '872', '240', '14', '487', '681', '771', '680', '528', '282', '66', '800', '169', '855', '170', '460', '21', '530', '691', '109', '597', '920', '461', '174']
['905', '26', '362', '687', '299', '144', '273', '302', '620', '900', '902', '693', '440', '636', '546', '457', '369', '694', '361', '518', '749', '313', '732', '227', '632', '802', '233', '236', '175', '866', '336', '766']
['751', '521', '579', '895', '345', '305', '589', '550', '456', '562', '881', '396', '527', '853', '701', '473', '740', '438', '34', '24', '852', '103', '475', '662', '59', '199', '290', '418', '322', '784', '265', '244']
['950', '367', '594', '490', '690', '140', '524', '778', '664', '218', '538', '777', '934', '600', '193', '71', '3', '186', '86', '859', '183', '256', '944', '834', '148', '466', '0', '333', '464', '9', '883', '529']
['311', '667', '848', '839', '139', '523', '452', '75', '804', '557', '723', '858', '871', '750', '819', '721', '526', '43', '744', '673', '37', '730', '791', '628', '717', '341', '923', '11', '102', '31', '190', '327']
['88', '870', '760', '574', '879', '189', '411', '163', '570', '741', '30', '250', '653', '541', '213', '275', '505', '714', '289', '634', '906', '197', '734', '260', '929', '22', '845', '660', '354', '780', '147', '504']
['926', '776', '624', '29', '27', '925', '445', '67', '885', '194', '435', '901', '801', '214', '178', '860', '708', '446', '623', '549', '472', '821', '491', '577', '774', '77', '592', '81', '809', '441', '188', '822']
['196', '249', '889', '111', '918', '47', '274', '903', '131', '258', '679', '38', '12', '798', '957', '715', '306', '35', '531', '408', '665', '1', '826', '417', '789', '593', '762', '325', '533', '573', '42', '699']
['764', '698', '602', '670', '560', '263', '19', '650', '52', '688', '149', '508', '121', '447', '731', '350', '205', '235', '13', '272', '578', '661', '539', '927', '890', '499', '55', '612', '69', '498', '707', '242']
['123', '806', '713', '654', '287', '280', '202', '432', '374', '844', '329', '355', '105', '308', '959', '954', '572', '404', '370', '911', '864', '738', '262', '309', '470', '398', '184', '180', '375', '951', '351', '591']
['159', '581', '161', '861', '931', '799', '617', '51', '899', '314', '769', '413', '646', '125', '310', '836', '908', '515', '695', '443', '647', '638', '843', '482', '462', '824', '606', '735', '251', '704', '916', '936']
['143', '422', '781', '410', '773', '865', '779', '921', '426', '922', '421', '846', '50', '710', '49', '805', '543', '818', '135', '933', '316', '786', '241', '198', '682', '162', '626', '532', '154', '82', '835', '909']
['119', '340']
