['657', '432', '957', '285', '954', '516', '690']
['322', '61', '624', '68', '813', '108', '884']
['216', '296', '689', '433', '503', '37', '125']
['230', '533', '921', '0', '134', '201', '571']
['553', '864', '585', '532', '14', '538', '471', '271']
['103', '165', '70', '742', '766', '5', '784']
['426', '335', '915', '823', '688', '572', '524']
['196', '938', '704', '867', '932', '316', '254']
['561', '282', '462', '683', '772', '779', '706']
['467', '950', '383', '818', '685', '495', '508']
['100', '219', '629', '639', '105', '380', '525']
['519', '43', '139', '606', '455', '59', '521']
['388', '291', '118', '563', '27', '303', '673']
['225', '17', '62', '379', '749', '337', '23']
['313', '457', '351', '795', '846', '186', '168', '522']
['851', '956', '262', '676', '268', '861', '375']
['714', '94', '397', '307', '576', '759', '613']
['156', '520', '539', '817', '459', '830', '200']
['376', '934', '360', '743', '213', '923', '663']
['266', '314', '177', '237', '395', '320', '914']
['711', '811', '436', '51', '506', '499', '773']
['486', '269', '628', '962', '879', '477', '600']
['203', '559', '76', '692', '7', '234', '297']
['725', '630', '841', '833', '178', '75', '831']
['904', '615', '22', '396', '53', '621', '592']
['507', '63', '504', '755', '788', '941', '939']
['721', '906', '448', '523', '373', '959', '414']
['619', '295', '369', '166', '250', '416', '565']
['665', '122', '551', '595', '668', '421', '577']
['622', '875', '722', '789', '517', '678', '707']
['566', '87', '127', '435', '450', '868', '415']
['869', '368', '192', '336', '895', '326', '77']
['439', '748', '652', '327', '57', '880', '919']
['500', '20', '883', '709', '790', '428', '644']
['632', '472', '734', '315', '330', '71', '660']
['917', '377', '387', '916', '309', '173', '442']
['922', '640', '461', '425', '238', '806', '645']
['341', '163', '121', '79', '47', '712']
