['921', '55', '380', '545', '57', '348', '393', '611', '325', '746', '875', '189', '306', '749', '8', '672', '725', '795', '45', '681', '24', '671', '110', '133', '443', '92', '115', '346', '568', '327', '81']
['265', '955', '809', '334', '904', '43', '734', '12', '268', '62', '340', '591', '570', '520', '956', '474', '450', '509', '144', '940', '176', '767', '234', '214', '388', '521', '397', '601', '842', '226', '730']
['22', '207', '695', '245', '249', '807', '94', '820', '42', '496', '859', '909', '620', '798', '696', '434', '130', '594', '896', '431', '737', '682', '338', '275', '637', '945', '774', '642', '87', '472', '193']
['755', '201', '331', '847', '643', '634', '918', '691', '944', '131', '3', '483', '705', '153', '803', '757', '34', '48', '437', '478', '172', '560', '934', '823', '593', '801', '116', '713', '460', '742', '761']
['845', '567', '52', '874', '905', '948', '112', '452', '753', '832', '370', '612', '935', '522', '287', '866', '771', '766', '952', '865', '410', '31', '506', '765', '538', '37', '381', '739', '500', '915', '669']
['419', '829', '178', '607', '21', '251', '778', '424', '396', '315', '429', '693', '834', '717', '357', '113', '138', '563', '384', '894', '692', '922', '906', '26', '718', '779', '27', '290', '406', '335', '428']
['495', '339', '486', '482', '844', '873', '102', '610', '447', '580', '395', '764', '503', '701', '862', '70', '525', '920', '613', '271', '960', '427', '799', '827', '170', '485', '958', '728', '729', '471', '650']
['72', '247', '499', '294', '235', '530', '662', '516', '58', '517', '513', '39', '849', '532', '332', '606', '684', '64', '181', '119', '18', '304', '358', '368', '191', '7', '743', '790', '120', '501', '907']
['680', '13', '657', '91', '863', '320', '600', '0', '436', '550', '1', '768', '412', '597', '575', '712', '274', '901', '411', '898', '666', '814', '162', '264', '407', '261', '256', '97', '444', '182', '587']
['812', '82', '84', '649', '453', '855', '206', '420', '303', '616', '227', '221', '703', '603', '232', '273', '345', '745', '835', '241', '574', '253', '617', '481', '109', '576', '362', '29', '549', '624', '353']
['302', '329', '908', '912', '139', '959', '714', '937', '337', '858', '946', '49', '173', '296', '760', '218', '702', '860', '402', '559', '167', '837', '147', '211', '540', '314', '255', '145', '557', '687', '371']
['780', '543', '870', '572', '355', '619', '704', '636', '826', '585', '910', '491', '343', '63', '179', '776', '655', '565', '629', '158', '151', '216', '166', '258', '10', '583', '841', '605', '622', '762', '950']
['916', '403', '508', '794', '203', '571', '884', '446', '539', '867', '888', '819', '422', '28', '76', '821', '278', '236', '121', '893', '917', '507', '369', '897', '463', '276', '169', '285', '732', '770', '900']
['392', '430', '16', '608', '204', '625', '929', '378', '716', '458', '223', '494', '927', '75', '843', '111', '279', '148', '225', '423', '164', '317', '947', '536', '931', '408', '710', '185', '782', '213', '382']
['785', '925', '426', '50', '270', '448', '547', '467', '783', '598', '439', '187', '899', '209', '344', '869', '582', '830', '631', '527', '316', '88', '670', '242', '77', '267', '323', '455', '108', '848', '914']
['305', '379', '706', '726', '286', '51', '815', '295', '200', '877', '405', '252', '451', '546', '663', '163', '635', '868', '35', '641', '89', '788', '674', '719', '769', '621', '763', '229', '531', '648', '498']
['385', '25', '387', '300', '561', '892', '511', '310', '792', '360', '480', '519', '217', '644', '518', '688', '159', '311', '627', '9', '215', '19', '293', '152', '462', '137', '15', '263', '230', '364', '733']
['417', '548', '401', '262', '418', '596', '322', '17', '99', '394', '464', '797', '592', '128', '751', '577', '180', '228', '686', '876', '818', '954', '333', '887', '272', '222', '127', '413', '872', '86', '879']
['602', '78', '140', '330', '811', '492', '239', '5', '104', '883', '626', '911', '54', '777', '449', '789', '175', '266', '165', '351', '939', '690', '741', '47', '651', '854', '683', '259', '740', '208', '856']
['359', '744', '497', '212', '205', '2', '288', '589', '442', '544', '646', '312', '71', '943', '454', '839', '66', '118', '924', '759', '134', '309', '813', '336', '895', '881', '461', '647', '122', '836', '250']
['298', '85', '490', '98', '656', '41', '800', '512', '754', '890', '156', '505', '735', '257', '160', '936', '903', '566', '493', '432', '833', '630', '953', '558', '23', '425', '949', '679', '433', '885', '90']
