['26', '185', '962', '579', '366', '892', '745', '132', '804', '176', '286', '45', '672', '855', '367', '629', '364', '913', '166', '84']
['619', '918', '53', '623', '964', '743', '789', '444', '542', '708', '844', '178', '34', '567', '470', '621', '0', '845', '901', '10']
['461', '468', '244', '199', '191', '71', '436', '973', '877', '950', '533', '650', '336', '509', '959', '258', '679', '6', '388', '263']
['462', '113', '687', '63', '393', '467', '94', '153', '514', '835', '76', '693', '15', '878', '822', '486', '953', '536', '142', '324']
['725', '821', '858', '914', '452', '873', '373', '39', '673', '869', '126', '112', '674', '217', '826', '925', '42', '951', '730', '375']
['960', '172', '369', '665', '152', '667', '975', '561', '124', '449', '588', '524', '301', '722', '966', '963', '658', '173', '412', '397']
['583', '928', '333', '246', '120', '735', '247', '150', '990', '346', '517', '55', '697', '248', '163', '402', '101', '293', '703', '281']
['215', '149', '295', '511', '380', '500', '505', '657', '284', '948', '761', '480', '787', '208', '430', '726', '309', '354', '874', '513']
['946', '466', '770', '253', '642', '685', '626', '133', '531', '605', '360', '85', '158', '86', '54', '836', '620', '598', '671', '595']
['837', '733', '744', '339', '35', '516', '322', '546', '573', '144', '64', '859', '705', '939', '508', '875', '474', '186', '628', '862']
['540', '59', '711', '371', '391', '61', '455', '993', '645', '267', '584', '636', '379', '159', '205', '236', '128', '534', '782', '646']
['587', '231', '824', '451', '676', '717', '930', '479', '706', '450', '604', '818', '981', '652', '496', '89', '695', '791', '794', '756']
['407', '67', '414', '193', '114', '239', '615', '729', '62', '589', '580', '129', '639', '355', '797', '403', '992', '2', '902', '72']
['802', '659', '936', '151', '457', '906', '907', '488', '473', '396', '250', '190', '109', '368', '898', '145', '827', '810', '411', '471']
['97', '731', '119', '786', '180', '978', '174', '997', '961', '406', '746', '780', '131', '164', '547', '38', '854', '631', '232', '175']
['154', '21', '230', '989', '751', '459', '352', '148', '485', '958', '582', '168', '7', '340', '860', '12', '608', '292', '867', '353']
['308', '553', '437', '663', '996', '716', '493', '683', '487', '651', '909', '611', '922', '832', '876', '211', '237', '617', '307', '811']
['849', '834', '570', '276', '538', '104', '563', '197', '998', '713', '622', '155', '4', '229', '433', '254', '698', '773', '600', '167']
['183', '66', '934', '956', '805', '727', '565', '988', '957', '707', '527', '664', '586', '228', '287', '577', '987', '921', '478', '701']
['923', '219', '494', '256', '361', '668', '868', '297', '453', '315', '915', '555', '463', '77', '734', '209', '689', '234', '95', '991']
['415', '709', '986', '136', '887', '766', '182', '520', '528', '259', '839', '310', '79', '747', '116', '460', '213', '210', '357', '49']
['240', '442', '994', '483', '625', '718', '662', '328', '432', '938', '195', '428', '74', '271', '941', '905', '5', '36', '348', '977']
['426', '68', '675', '425', '115', '347', '350', '677', '883', '365', '736', '342', '341', '476', '47', '420', '362', '338', '374', '965']
['750', '838', '769', '23', '363', '323', '740', '434', '590', '70', '477', '351', '220', '30', '952', '682', '8', '847', '772', '270']
['932', '46', '661', '92', '807', '624', '741', '330', '985', '871', '238', '817', '431', '866', '916', '398', '820', '984', '728', '440']
['446', '856', '574', '599', '189', '554', '140', '634', '903', '601', '311', '275', '134', '147', '732', '929', '630', '793', '456', '257']
['968', '161', '800', '616', '955', '156', '937', '882', '572', '678', '269', '562', '278', '813', '660', '806', '157', '165', '88', '279']
['117', '206', '551', '506', '879', '935', '897', '522', '759', '609', '771', '382', '242', '111', '819', '613', '387', '649', '192', '680']
['591', '690', '424', '214', '218', '784', '40', '564', '767', '686', '410', '359', '692', '644', '865', '755', '329', '204', '331', '653']
['48', '3', '852', '356', '137', '933', '107', '394', '421', '571', '291', '14', '313', '515', '105', '169', '41', '737', '135', '325']
['530', '262', '125', '857', '529', '22', '422', '795', '982', '91', '774', '481', '106', '972', '927', '627', '464', '558', '850', '143']
['501', '931', '851', '377', '318', '385', '24', '300', '87', '525', '843', '764', '942', '222', '201', '188', '44', '980', '401', '681']
