['507', '758', '461', '77', '122', '596', '567', '877', '49', '218', '847', '97', '562', '265', '24', '820', '864', '695', '948', '726']
['433', '526', '929', '788', '544', '895', '179', '42', '493', '955', '398', '464', '819', '836', '546', '496', '324', '868', '41', '773']
['85', '343', '721', '261', '293', '498', '276', '937', '655', '875', '529', '3', '750', '972', '990', '961', '590', '778', '888', '626']
['763', '394', '82', '185', '199', '714', '617', '378', '615', '684', '142', '466', '725', '629', '209', '762', '600', '123', '835', '339']
['275', '132', '962', '831', '687', '899', '333', '194', '869', '854', '348', '534', '86', '383', '36', '8', '876', '960', '395', '845']
['365', '381', '477', '80', '946', '793', '422', '642', '616', '995', '285', '525', '682', '792', '341', '284', '44', '241', '63', '591']
['406', '805', '264', '345', '377', '57', '807', '247', '691', '665', '919', '484', '60', '630', '286', '863', '84', '871', '905', '570']
['971', '940', '766', '669', '783', '67', '321', '45', '501', '759', '251', '388', '884', '196', '712', '485', '93', '159', '18', '924']
['130', '984', '943', '865', '882', '31', '405', '219', '144', '904', '549', '474', '505', '328', '120', '989', '708', '390', '703', '15']
['808', '415', '681', '589', '281', '302', '679', '624', '771', '2', '253', '151', '964', '777', '936', '980', '678', '278', '857', '926']
['338', '606', '723', '853', '916', '844', '605', '883', '656', '19', '921', '770', '716', '266', '479', '143', '391', '738', '985', '731']
['254', '873', '447', '439', '451', '527', '861', '234', '814', '627', '187', '330', '387', '696', '243', '996', '153', '149', '172', '842']
