['740', '959', '335']
['431', '579', '433']
['362', '287', '366']
['87', '209', '824']
['323', '597', '1']
['90', '27', '857']
['788', '987', '692']
['180', '617', '0']
['851', '612', '551']
['41', '235', '591']
['846', '249', '189']
['137', '995', '630']
['523', '11', '171']
['611', '401', '540']
['158', '331', '793']
['903', '2', '811']
['496', '661', '104']
['390', '515', '60']
['933', '488', '742']
['211', '994', '636']
['605', '882', '866']
['300', '826', '275']
['514', '698', '222']
['519', '15', '305']
['524', '219', '955']
['100', '30', '325']
['549', '201', '685']
['69', '176', '943']
['68', '804', '534']
['993', '849', '291']
['676', '231', '998']
['988', '369', '860']
['511', '415', '665']
['810', '876', '186']
['179', '450', '19']
['850', '576', '349']
['767', '556', '138']
['128', '581', '606']
['922', '453', '919']
['557', '260', '246']
['34', '747', '870']
['79', '584', '404']
['962', '389', '236']
['864', '925', '645']
['347', '57', '44']
['563', '805', '4']
['694', '898', '869']
['144', '929', '761']
['5', '129', '313']
['741', '562', '311']
['110', '123', '190']
['142', '285', '112']
['279', '378', '348']
['966', '230', '316']
['813', '280', '559']
['419', '111', '93']
['269', '267', '448']
['504', '651', '367']
['814', '800', '106']
['608', '764', '210']
['806', '533', '773']
['282', '961', '457']
['594', '726', '905']
['89', '333', '449']
['185', '652', '707']
['634', '102', '39']
['683', '586', '70']
['318', '627', '790']
['115', '744', '924']
['470', '743', '103']
['958', '466', '970']
['892', '409', '861']
['522', '476', '170']
['388', '3', '658']
['550', '590', '615']
['259', '629', '662']
['7', '377', '6']
['799', '107', '780']
['375', '140', '101']
['772', '53', '609']
['136', '50', '569']
['84', '748', '633']
['803', '784', '67']
['105', '637', '380']
['283', '62', '383']
['842', '21', '908']
['599', '910', '92']
['425', '290', '232']
['247', '873', '20']
['473', '989', '310']
['567', '973', '265']
['52', '48', '317']
['306', '553', '739']
['541', '915', '923']
['97', '828', '777']
['478', '444', '862']
['477', '334', '360']
['881', '40', '456']
['539', '593', '737']
['526', '893', '307']
['358', '91', '776']
['699', '368', '941']
['902', '36', '792']
['159', '942', '944']
['568', '839', '458']
['408', '831', '530']
['157', '642', '465']
['543', '337', '23']
['502', '848', '835']
['297', '455', '187']
['509', '343', '512']
['245', '22', '394']
['891', '899', '151']
['885', '399', '166']
['72', '728', '174']
['758', '194', '471']
['704', '400', '428']
['18', '420', '663']
['877', '513', '76']
['332', '769', '122']
['907', '917', '555']
['625', '345', '895']
['228', '659', '874']
['61', '25', '932']
['474', '64', '429']
['641', '632', '536']
['697', '45', '703']
['154', '889', '710']
['203', '63', '226']
['350', '729', '167']
['12', '492', '688']
['215', '152', '461']
['417', '198', '521']
['854', '918', '900']
['132', '363', '382']
['206', '410', '414']
['326', '527', '765']
['572', '897', '520']
['610', '725', '47']
['909', '672', '500']
['430', '801', '673']
['752', '85', '169']
['256', '445', '243']
['554', '757', '566']
['71', '802', '353']
['538', '432', '233']
['330', '749', '587']
['819', '529', '750']
['679', '818', '164']
['879', '649', '696']
['589', '952', '822']
['434', '653', '774']
['583', '42', '755']
['723', '920', '980']
['684', '374', '552']
['443', '618', '687']
['406', '578', '809']
['88', '202', '244']
['405', '292', '580']
['486', '812', '393']
['721', '708', '379']
['238', '940', '257']
['598', '585', '904']
['452', '808', '65']
['204', '113', '354']
['96', '595', '865']
['564', '460', '982']
['655', '602', '56']
['575', '763', '983']
['464', '972', '979']
['969', '680', '647']
['124', '149', '901']
['35', '781', '94']
['274', '24', '498']
['937', '485', '248']
['913', '272', '199']
['146', '356', '570']
['150', '604', '936']
['387', '395', '992']
['43']
