['723', '154', '238', '976', '890', '158', '716', '906', '729', '438', '943', '776', '383', '322', '539', '82', '709', '254', '225', '606', '561', '925', '105', '846', '759', '526', '643', '455', '459', '734', '316', '365']
['825', '355', '140', '651', '738', '18', '272', '106', '777', '163', '671', '408', '556', '366', '899', '68', '641', '372', '950', '822', '532', '872', '405', '151', '512', '437', '996', '439', '640', '597', '567', '361']
['357', '986', '118', '275', '520', '60', '538', '901', '244', '31', '483', '664', '788', '937', '634', '201', '139', '785', '939', '107', '409', '646', '161', '511', '476', '621', '12', '985', '248', '791', '262', '389']
['542', '402', '642', '36', '166', '41', '673', '766', '814', '348', '25', '916', '875', '789', '558', '54', '833', '551', '430', '685', '167', '665', '524', '999', '326', '114', '736', '661', '584', '95', '155', '877']
['712', '157', '611', '207', '981', '746', '190', '756', '77', '667', '479', '338', '424', '299', '358', '697', '83', '762', '820', '321', '173', '175', '675', '174', '172', '111', '905', '989', '692', '292', '798', '891']
['595', '381', '828', '492', '481', '929', '835', '829', '341', '143', '811', '604', '406', '733', '35', '229', '249', '565', '840', '352', '89', '771', '294', '43', '767', '333', '144', '136', '85', '192', '586', '735']
['236', '902', '386', '196', '46', '503', '543', '451', '215', '203', '306', '331', '211', '285', '187', '993', '27', '549', '688', '754', '436', '700', '876', '836', '491', '975', '110', '19', '870', '594', '290', '724']
['311', '658', '182', '609', '359', '26', '398', '9', '884', '983', '979', '591', '601', '804', '834', '572', '218', '257', '58', '857', '587', '607', '838', '657', '448', '243', '994', '48', '610', '663', '859', '281']
['547', '593', '279', '117', '757', '995', '29', '328', '156', '545', '147', '485', '858', '49', '442', '740', '370', '517', '115', '81', '429', '258', '419', '16', '324', '616', '965', '578', '972', '228', '404', '461']
['200', '807', '471', '490', '185', '878', '534', '335', '654', '421', '349', '588', '440', '866', '307', '861', '988', '425', '379', '67', '317', '181', '944', '310', '160', '768', '219', '936', '11', '741', '684', '360']
['74', '24', '387', '801', '694', '278', '911', '378', '748', '246', '1', '431', '277', '636', '498', '802', '313', '900', '626', '509', '319', '638', '4', '497', '250', '241', '519', '693', '710', '323', '953', '699']
['749', '288', '14', '369', '507', '726', '550', '104', '990', '325', '886', '6', '305', '73', '468', '493', '499', '837', '942', '135', '57', '334', '103', '242', '286', '960', '546', '914', '856', '506', '841', '395']
['864', '533', '289', '605', '537', '375', '639', '418', '683', '530', '65', '843', '751', '502', '765', '795', '698', '926', '808', '799', '414', '518', '447', '815', '494', '614', '125', '183', '562', '987', '496', '165']
['91', '569', '968', '585', '301', '714', '108', '400', '123', '474', '133', '484', '598', '403', '47', '376', '346', '30', '153', '45', '582', '742', '489', '195', '466', '150', '931', '486', '525', '513', '892', '354']
['271', '659', '655', '39', '817', '722', '416', '686', '560', '781', '191', '391', '796', '910', '478', '958', '969', '122', '463', '137', '566', '672', '669', '407', '934', '718', '470', '770', '263', '652', '371', '644']
['61', '210', '427', '353', '645', '630', '441', '536', '120', '863', '274', '33', '619', '589', '964', '535', '52', '189', '922', '112', '53', '193', '938', '888', '656', '812', '779', '928', '879', '853', '186', '720']
['755', '303', '454', '865', '397', '367', '500', '787', '557', '22', '413', '469', '50', '761', '674', '269', '895', '529', '302', '510', '919', '783', '800', '128', '94', '691', '813', '37', '809', '600', '363', '713']
['390', '930', '72', '844', '260', '782', '920', '460']
